id;user_id;order_number;order_date;total;
1;1;1923456;2021-10-31;150;
2;3;4325765;2021-10-30;200;
3;2;9483648;2021-10-29;300;
4;6;3757562;2021-10-28;100;
5;4;2245667;2021-10-27;250;
6;5;5489631;2021-10-26;350;
7;7;8878675;2021-10-25;400;
8;8;2143546;2021-10-24;450;
9;9;5575743;2021-10-23;500;
10;10;7573566;2021-10-22;550;
11;11;4335543;2021-10-23;600;
12;12;7477575;2021-10-24;650;
13;13;3254657;2021-10-25;700;
14;14;2144677;2021-10-26;750;
15;15;5464564;2021-10-27;800;
16;16;1435713;2021-10-28;850;
17;17;7869799;2021-10-29;900;
18;18;4657868;2021-10-30;950;
19;19;5475648;2021-10-31;1000;
